央视IPV4,#genre#
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5+,http://101.35.240.114:88/live.php?id=CCTV5p
CCTV16,http://101.35.240.114:88/live.php?id=CCTV16
CCTV4K,http://101.35.240.114:88/live.php?id=CCTV4K
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV2,http://101.35.240.114:88/live.php?id=CCTV2
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV4,http://101.35.240.114:88/live.php?id=CCTV4
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6
CCTV7,http://101.35.240.114:88/live.php?id=CCTV7
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8
CCTV9,http://101.35.240.114:88/live.php?id=CCTV9
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV11,http://101.35.240.114:88/live.php?id=CCTV11
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12
CCTV13,http://101.35.240.114:88/live.php?id=CCTV13
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14
CCTV15,http://101.35.240.114:88/live.php?id=CCTV15
CCTV17,http://101.35.240.114:88/live.php?id=CCTV17
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CHC家庭影院,http://101.35.240.114:88/live.php?id=CH
