央视IPV4,#genre#
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5+,http://101.35.240.114:88/live.php?id=CCTV5p
CCTV16,http://101.35.240.114:88/live.php?id=CCTV16
CCTV4K,http://101.35.240.114:88/live.php?id=CCTV4K
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV2,http://101.35.240.114:88/live.php?id=CCTV2
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV4,http://101.35.240.114:88/live.php?id=CCTV4
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6
CCTV7,http://101.35.240.114:88/live.php?id=CCTV7
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8
CCTV9,http://101.35.240.114:88/live.php?id=CCTV9
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV11,http://101.35.240.114:88/live.php?id=CCTV11
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12
CCTV13,http://101.35.240.114:88/live.php?id=CCTV13
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14
CCTV15,http://101.35.240.114:88/live.php?id=CCTV15
CCTV17,http://101.35.240.114:88/live.php?id=CCTV17
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CHC家庭影院,http://101.35.240.114:88/live.php?id=CHC家庭影院
CHC动作电影,http://101.35.240.114:88/live.php?id=CHC动作电影
CHC影迷电影,http://101.35.240.114:88/live.php?id=CHC影迷电影
卫视IPV4,#genre#
重温经典,http://101.35.240.114:88/live.php?id=重温经典
翡翠台,http://101.35.240.114:88/live.php?id=翡翠台
五星体育,http://101.35.240.114:88/live.php?id=五星体育
湖南卫视,http://101.35.240.114:88/live.php?id=湖南卫视
北京卫视,http://101.35.240.114:88/live.php?id=北京卫视
深圳卫视,http://101.35.240.114:88/live.php?id=深圳卫视
浙江卫视,http://101.35.240.114:88/live.php?id=浙江卫视
江苏卫视,http://101.35.240.114:88/live.php?id=江苏卫视
陕西卫视,http://101.35.240.114:88/live.php?id=陕西卫视
湖北卫视,http://101.35.240.114:88/live.php?id=湖北卫视
内蒙古卫视,http://101.35.240.114:88/live.php?id=内蒙古卫视
江西卫视,http://101.35.240.114:88/live.php?id=江西卫视
广东卫视,http://101.35.240.114:88/live.php?id=广东卫视
东方卫视,http://101.35.240.114:88/live.php?id=东方卫视
西藏卫视,http://101.35.240.114:88/live.php?id=西藏卫视
新疆卫视,http://101.35.240.114:88/live.php?id=新疆卫视
卫视IPV4 catchupappend catchup-source?playseek${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},#genre#
凤凰资讯,http://101.35.240.114:88/phenix.php?id=fhzx
凤凰中文,http://101.35.240.114:88/phenix.php?id=fhzw
凤凰香港,http://101.35.240.114:88/phenix.php?id=fhhk
一起看OL,#genre#
斗鱼-科幻Fans,https://www.goodiptv.club/douyu/3508304
虎牙-周星星,https://www.goodiptv.club/huya/13303478
虎牙-阿斗归来了,https://www.goodiptv.club/huya/13303478
虎牙-扁豆看电影,https://www.goodiptv.club/huya/16028551
虎牙-蜡笔小新,https://www.goodiptv.club/huya/11352970
虎牙-猫和老鼠,https://www.goodiptv.club/huya/11352879
虎牙-八点档,https://www.goodiptv.club/huya/880261
